Query	UserId	Lenth
"Здравствуйте. Автомобиль в лизинге , у нас право пользование арендой 
кто оплачивает транспортный налог?"	8677676	15
Здравствуйте! Может ли сотрудница заменить расчетные годы при оформлении больничного по беременности и родам?	642230	14
ДД, как можно отправить работника в отпуск без содержания? какие правила и тонкости ?	9327184	14
здравствуйте, подскажите, должна ли строка 1370 баланса быть равна строке 2300 отчета о фин.результатах	8906272	14
Подскажите пожалуйста, входят ли курсовые разницы в первоначальную стоимость оборудования, при постановке на учет?	6874346	14
приобрели мониторы во 2 квартале для собственных нужд, надо ли отчитываться по прослеживаемым товарам?	9613390	14
Добрый вечер ! по НДС подается уведомление и можно НДС платить частями по 1/3	8039380	14
Добрый день. При каких условиях можно заменить дополнительный отпуск (северный) на компенсацию без увольнения?	3424948	14
Доброе утро, подскажите пожалуйста гле прописан список услуг которые могут оказывать самозанятые юр лицам?	5696031	14
Добрый день! Скажите пожалуйста, нужно ли платить аванс сотруднику, если он был в отпуске	11814336	14
Здравствуйте! Надо распечатывать книгу покупок и книгу продаж, если декларация сдается в эл виде?	15980358	14
скажите пожалуйста на валютный контроль нужно ставить сделки в иностранной валюте между резидентами РФ?	476100	14
нужно ли подавать декларацию о ввозе из еаэс, если товар получили напрямую из европы	2678027	14
Здравствуйте, подскажите пожалуйста, не верно подали уведомление за июль на НДФЛ, как можно исправить?	10350764	14
Добрый день! Как отразить в учете расходы на покупку авиабилетов для сотрудников по безналу?	18999446	14
"Добрый день! Как исправить ошибку ККТ в чеке коррекция операция ""приход"". Не выделен НДС."	18629877	14
Добрый день! Нужно ли включать в справку о доходах 2-НДФЛ компенсацию отпуска при увольнении?	221632	14
Добрый вечер. При регистрации ип в какой момент нужно подавать заявление на выбор УСН?	3189268	14
Добрый день. Как заполнить 6 НДФЛ если есть задолженность по зарплате за 2022 год	322055	14
Добрый день. Просьба найти реквизиты для перечисления взносов на обязательное страхование от несчастных случаев	7594240	14
Доброе утро, можно ли с 2023 года перейти на балансовый метод учета ПБУ 18/02?	746854	14
Здравствуйте. Если компания получила IT аккредитацию, то с какого периода действуют льготы по налогообложению?	4634836	14
добрый день! какой срок вынесения решения после того как получили акт по камеральной проверке?	983936	14
Добрый день. Компания покупает для сотрудников чай, сахар. Можно ли принять НДС к вычету?	20500852	14
Здравствуйте. Подскажите, пожалуйста, как оформляется по бухгалтерскому учету лизинг у лизингополучателя в 2023 г	6208244	14
добрый день ,Ю дайте пожалуйста форму приказа о назначении ИО на время отпуска директора	601806	14
Здравствуйте. Возврат товара от покупателя (качественного и некачественного) Какие документы оформляются при этих случаях?	19319375	14
Доброе утро! Какая сумма единовременного пособия при рождении ребенка? На неё устанавливается районный коэффициент?	4718756	14
Здравствуйте! Какие документы должны быть оформлены при отправлении в командировку сотрудника на личном автомобиле?	4124612	14
Добрый день! Входит ли в состав накладных расходов в строительстве покупка спецодежды для рабочих?	7522261	14
Добрый день. Можно ли заключить агентский договор с самозанятым (налогоплательщик налога на профессиональный доход)	10899032	14
Добрый день. Нужно ли составлять путевой лист для автопогрузчика, который передвигается по складу организации?	14030603	14
как оформить предоставление займа организации , если единственный учредитель и генеральный директор одно лицо	18368554	14
Добрый день. Какие проводки надо использовать в бухгалтерском учете, если автомобиль купили в лизинг?	618516	14
Добрый день. Подскажите, пожалуйста. какую сумму НДФЛ в уведомлении енп указывать: начисленную или уплаченную?	17676552	14
чтобы закрыть ИП на Осно какие отчеты нужно сдать перед подачей заявления на закрытие?	9318274	14
нужно ли подавать уведомление за 2 квартал по УСН(15%), если за полугодие уменьшение налога	6236371	14
Подскажите, где в НК прописано, что счет-фактура на аванс должна быть привязана к оплатам?	18435993	14
Добрый день. Начисляется ли НДФЛ на компенсацию использование работником личного автомобиля для служебных целей	4719125	14
Какие коммерческие организации должны пройти обязательный аудит по итогам 23 года , какие критерии	3667766	14
Скажите пожалуйста, по каким реквизитам перечислять взносы на травматизм по Мо, г. Истра.	745653	13
Добрый день! Подскажите, до какой предельной суммы начисления применяются вычеты НДФЛ за ребенка?	1713901	13
Может ли компания принять расходы по текущему ремонту арендованного автомобиля в налоговом учете	12843887	13
как отразить беспроцентный займ от организации в другую организацию в бу и ну?	12717601	13
Добрый день. Уточните условия прощения долга ООО физическому лицу (сотруднику и не сотруднику)	100202	13
добрый день, вопрос следующий , все ли детские товары попадают под ндс 10%	5863340	13
Добрый день! УСН доходы , какая налоговая ставка для ИП в Элисте ?	20235820	13
Может ли директор дать ООО беспроцентный займ наличными средствами? Как это правильно оформить?	768024	13
Добрый день, какой код ставится в статусе плательщика при оплате взносов на травматизм	3498999	13
Добрый день! Подскажите, пожалуйста, как перенести остатки при реорганизации фирмы в виде присоединения?	18104437	13
Добрый день! Какой период с момента открытия организации директор может работать без зарплаты?	18651254	13
Добрый день! Как можно сдать декларации по УСН или ЕСХН при закрытии ИП?	5235588	13
Добрый день. Подскажите порядок удержания штрафов ГБДД с сотрудников, нарушений на служебной машине.	18969385	13
