Query	UserId	Lenth
"Здравствуйте. Автомобиль в лизинге , у нас право пользование арендой 
кто оплачивает транспортный налог?"	8677676	15
ДД, как можно отправить работника в отпуск без содержания? какие правила и тонкости ?	9327184	14
приобрели мониторы во 2 квартале для собственных нужд, надо ли отчитываться по прослеживаемым товарам?	9613390	14
Добрый день. При каких условиях можно заменить дополнительный отпуск (северный) на компенсацию без увольнения?	3424948	14
скажите пожалуйста на валютный контроль нужно ставить сделки в иностранной валюте между резидентами РФ?	476100	14
Добрый вечер. При регистрации ип в какой момент нужно подавать заявление на выбор УСН?	3189268	14
Здравствуйте. Если компания получила IT аккредитацию, то с какого периода действуют льготы по налогообложению?	4634836	14
Здравствуйте. Подскажите, пожалуйста, как оформляется по бухгалтерскому учету лизинг у лизингополучателя в 2023 г	6208244	14
чтобы закрыть ИП на Осно какие отчеты нужно сдать перед подачей заявления на закрытие?	9318274	14
Какие коммерческие организации должны пройти обязательный аудит по итогам 23 года , какие критерии	3667766	14
Добрый день. Уточните условия прощения долга ООО физическому лицу (сотруднику и не сотруднику)	100202	13
Добрый день, какой код ставится в статусе плательщика при оплате взносов на травматизм	3498999	13
Добрый день! Подскажите, пожалуйста, как перенести остатки при реорганизации фирмы в виде присоединения?	18104437	13
Добрый день. Подскажите порядок удержания штрафов ГБДД с сотрудников, нарушений на служебной машине.	18969385	13
Добрый день! как можно получить закрывающие документы? в конце срока подписки или ежемесячно?	20338422	13
"добрый день!
Скажите нужно ли подавать уведомление по фиксированным страховым взносам за 2023 год"	6818512	13
Здравствуйте! Мы передаем часть офиса в субаренду. Как нам провести в бухгалтерском учете?	835572	13
Как составить и сдать уведомление по ЕНП с 1 октября 2023 года	3523201	12
"День добрый.
Подскажите, как можно восстановить трудовую книжку сотрудника, если она была утерена?"	3639026	12
Как составить и сдать уведомление по ЕНП с 1 октября 2023 года	18794627	12
"Добрый день!
Можно ли принять расходы на корпоратив если организация на ОСНО ?"	11389334	12
Как составить и сдать уведомление по ЕНП с 1 октября 2023 года	391541	12
Беспроцентный займ от физлица не учредителя. Будет ли у ООО внереализационный доход?	4657767	12
Как составить и сдать уведомление по ЕНП с 1 октября 2023 года	8093426	12
Как составить и сдать уведомление по ЕНП с 1 октября 2023 года	112239	12
Добрый день. Подскажите пруд в сельском хозяйстве к какой амортизационной группе относится?	4241010	12
Подается ли косвенная декларация по импортным поставкам в СЭЗ, ставка НДС 0%	15504160	12
Добрый день! Пришлите пожалуйста образец приказа о назначении ответственного за пожарную безопасность	13219981	12
"Добрый день!
как подтвердить что компания на усн если утеренно уведомление о переходе"	13330734	12
Добрый день. Какой срок перечисления НДФЛ по договору аренды в 2023 году?	20500852	12
Здравствуйте! На что можно тратить денежные средства со специального счета по гособоронзаказу?	2284289	12
добрый день! Квартира в жилом монолитном доме. к какой группе амортизационной относится	7016075	12
как составить и сдать уведомление по енп с 01 октября 2023	351493	11
Добрый день! Подскажите на какой счет отнести затраты по банковской гарантии	15775781	11
как составить и сдать уведомление по енп с 1 октября 2023	18735744	11
надо ли уведомлять военкомат о новом сотрудники, какие санкции если да	19093440	11
могут ли субъекты среднего предпринимательства применять пониженные тарифы по страховым взносам	1619525	11
.добрый день. Просьба прислать образец бланка путевого листа, действующего с 01.09.2023г.	17422717	11
Добрый день. Как произвести расчет компенсации за несвоевременную выплату заработной платы?	5962500	11
До какой даты действует статус налогоплательщика 02 в платежных поручениях?	756526	10
Как правильно оприходовать пожертвование в виде основного средства? Бухгалтерские проводки	19379206	10
подскажите пожалуйста а/м штрафы ГИБДД не учитываются для уменьшения налогообложения?	600232	10
как составить и сдать уведомление по енп с 1 октября	9317806	10
Добрый день! Как выплатить дивиденды за 2022 год в текущем?	2248842	10
как составить и сдать уведомление по енп с 01 октября	188266	10
как составить и сдать уведомление по ЕНП с 1 октября	3857040	10
Добрый день! надо заполнить форму - требуется Единый казначейский счет	623278	10
как составить и сдать уведомление по енп с 1 октября	4598816	10
здравствуйте, вышлите пожалуйста образец заполнения платежного поручения оплаты услуг самозанятому	14750921	10
Добрый день. Вопрос: нужен ли путевой лист на электропогрузчик ?	4084612	10
Добрый день! Как в 1С настроить вкладку ведение налогового учета	20168879	10
Добрый день. Какие документы необходимы для получения патента гражданину Таджикистана?	13463437	10
добрый день. образец приказа по отпуску по беременности и родам	471463	10
Здравствуйте! Подскажите платежки со статусом 02 отменили с какого времени?	3465255	10
Как заполнить путевой лист с 1 сентября 2023 года	20369075	9
пособие при постановке на учет в ранние сроки беременности	2451274	9
прием на работу сотрудника, который ранее утерял трудовую книжку	2777097	9
можно ли учесть в расходах гсм без путевых листов	229703	9
как составить уведомление по енп с 01 октября 2023	5172478	9
За какой предыдущий период проводит ФНС при выездной проверке	341516	9
как изменится работа с эцп с 1 сентября 2023г	8530574	9
Добрый день, подскажите пожалуйста как сменить директора в ООО.	16210087	9
Доверенность на право подписи документов за генерального директора образец	290271	9
Добрый день. Подскажите с 2023г сроки оплаты страховых взносов	12741875	9
